strategy_group,hero_filter,odds_condition,delta_threshold,bets,wins,win_pct,final_bank,max_drawdown,max_stake,max_step
Flat100,5+5-,underdog,100,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,125,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,150,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,200,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,225,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,250,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,275,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,300,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,325,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,350,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,375,0,0,0,1000,0,0,0
Flat100,5+5-,underdog,400,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,5,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,10,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,15,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,20,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,25,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,30,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,35,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,40,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,45,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,50,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,75,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,100,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,125,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,150,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,200,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,225,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,250,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,275,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,300,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,325,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,350,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,375,0,0,0,1000,0,0,0
Flat100,5+5-,favorite,400,0,0,0,1000,0,0,0
Pct5,none,any,5,81,50,62,2182,637,106,0
Pct5,none,any,10,56,35,62,1781,487,87,0
Pct5,none,any,15,36,26,72,2232,345,108,0
Pct5,none,any,20,24,19,79,1938,245,94,0
Pct5,none,any,25,12,9,75,1380,172,62,0
Pct5,none,any,30,5,4,80,1270,58,58,0
Pct5,none,any,35,1,0,0,950,50,50,0
Pct5,none,any,40,1,0,0,950,50,50,0
Pct5,none,any,45,1,0,0,950,50,50,0
Pct5,none,any,50,0,0,0,1000,0,0,0
Pct5,none,any,75,0,0,0,1000,0,0,0
Pct5,none,any,100,0,0,0,1000,0,0,0
Pct5,none,any,125,0,0,0,1000,0,0,0
Pct5,none,any,150,0,0,0,1000,0,0,0
Pct5,none,any,200,0,0,0,1000,0,0,0
Pct5,none,any,225,0,0,0,1000,0,0,0
Pct5,none,any,250,0,0,0,1000,0,0,0
Pct5,none,any,275,0,0,0,1000,0,0,0
Pct5,none,any,300,0,0,0,1000,0,0,0
Pct5,none,any,325,0,0,0,1000,0,0,0
Pct5,none,any,350,0,0,0,1000,0,0,0
Pct5,none,any,375,0,0,0,1000,0,0,0
Pct5,none,any,400,0,0,0,1000,0,0,0
Pct5,none,underdog,5,45,21,47,1548,478,79,0
Pct5,none,underdog,10,30,14,47,1391,358,71,0
Pct5,none,underdog,15,19,11,58,1725,280,78,0
Pct5,none,underdog,20,11,8,73,1643,209,74,0
Pct5,none,underdog,25,6,4,67,1305,113,59,0
Pct5,none,underdog,30,3,2,67,1223,58,58,0
Pct5,none,underdog,35,1,0,0,950,50,50,0
Pct5,none,underdog,40,1,0,0,950,50,50,0
Pct5,none,underdog,45,1,0,0,950,50,50,0
Pct5,none,underdog,50,0,0,0,1000,0,0,0
Pct5,none,underdog,75,0,0,0,1000,0,0,0
Pct5,none,underdog,100,0,0,0,1000,0,0,0
Pct5,none,underdog,125,0,0,0,1000,0,0,0
Pct5,none,underdog,150,0,0,0,1000,0,0,0
Pct5,none,underdog,200,0,0,0,1000,0,0,0
Pct5,none,underdog,225,0,0,0,1000,0,0,0
Pct5,none,underdog,250,0,0,0,1000,0,0,0
Pct5,none,underdog,275,0,0,0,1000,0,0,0
Pct5,none,underdog,300,0,0,0,1000,0,0,0
Pct5,none,underdog,325,0,0,0,1000,0,0,0
Pct5,none,underdog,350,0,0,0,1000,0,0,0
Pct5,none,underdog,375,0,0,0,1000,0,0,0
Pct5,none,underdog,400,0,0,0,1000,0,0,0
Pct5,none,favorite,5,34,27,79,1291,144,63,0
Pct5,none,favorite,10,25,20,80,1225,133,60,0
Pct5,none,favorite,15,16,14,88,1238,55,60,0
Pct5,none,favorite,20,12,10,83,1128,50,55,0
Pct5,none,favorite,25,6,5,83,1058,52,52,0
Pct5,none,favorite,30,2,2,100,1039,0,51,0
Pct5,none,favorite,35,0,0,0,1000,0,0,0
Pct5,none,favorite,40,0,0,0,1000,0,0,0
Pct5,none,favorite,45,0,0,0,1000,0,0,0
Pct5,none,favorite,50,0,0,0,1000,0,0,0
Pct5,none,favorite,75,0,0,0,1000,0,0,0
Pct5,none,favorite,100,0,0,0,1000,0,0,0
Pct5,none,favorite,125,0,0,0,1000,0,0,0
Pct5,none,favorite,150,0,0,0,1000,0,0,0
Pct5,none,favorite,200,0,0,0,1000,0,0,0
Pct5,none,favorite,225,0,0,0,1000,0,0,0
Pct5,none,favorite,250,0,0,0,1000,0,0,0
Pct5,none,favorite,275,0,0,0,1000,0,0,0
Pct5,none,favorite,300,0,0,0,1000,0,0,0
Pct5,none,favorite,325,0,0,0,1000,0,0,0
Pct5,none,favorite,350,0,0,0,1000,0,0,0
Pct5,none,favorite,375,0,0,0,1000,0,0,0
Pct5,none,favorite,400,0,0,0,1000,0,0,0
Pct5,4+4-,any,5,0,0,0,1000,0,0,0
Pct5,4+4-,any,10,0,0,0,1000,0,0,0
Pct5,4+4-,any,15,0,0,0,1000,0,0,0
Pct5,4+4-,any,20,0,0,0,1000,0,0,0
Pct5,4+4-,any,25,0,0,0,1000,0,0,0
Pct5,4+4-,any,30,0,0,0,1000,0,0,0
Pct5,4+4-,any,35,0,0,0,1000,0,0,0
Pct5,4+4-,any,40,0,0,0,1000,0,0,0
Pct5,4+4-,any,45,0,0,0,1000,0,0,0
Pct5,4+4-,any,50,0,0,0,1000,0,0,0
Pct5,4+4-,any,75,0,0,0,1000,0,0,0
Pct5,4+4-,any,100,0,0,0,1000,0,0,0
Pct5,4+4-,any,125,0,0,0,1000,0,0,0
Pct5,4+4-,any,150,0,0,0,1000,0,0,0
Pct5,4+4-,any,200,0,0,0,1000,0,0,0
Pct5,4+4-,any,225,0,0,0,1000,0,0,0
Pct5,4+4-,any,250,0,0,0,1000,0,0,0
Pct5,4+4-,any,275,0,0,0,1000,0,0,0
Pct5,4+4-,any,300,0,0,0,1000,0,0,0
Pct5,4+4-,any,325,0,0,0,1000,0,0,0
Pct5,4+4-,any,350,0,0,0,1000,0,0,0
Pct5,4+4-,any,375,0,0,0,1000,0,0,0
Pct5,4+4-,any,400,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,5,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,10,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,15,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,20,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,25,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,30,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,35,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,40,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,45,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,50,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,75,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,100,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,125,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,150,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,200,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,225,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,250,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,275,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,300,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,325,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,350,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,375,0,0,0,1000,0,0,0
Pct5,4+4-,underdog,400,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,5,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,10,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,15,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,20,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,25,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,30,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,35,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,40,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,45,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,50,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,75,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,100,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,125,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,150,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,200,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,225,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,250,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,275,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,300,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,325,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,350,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,375,0,0,0,1000,0,0,0
Pct5,4+4-,favorite,400,0,0,0,1000,0,0,0
Pct5,5+5-,any,5,0,0,0,1000,0,0,0
Pct5,5+5-,any,10,0,0,0,1000,0,0,0
Pct5,5+5-,any,15,0,0,0,1000,0,0,0
Pct5,5+5-,any,20,0,0,0,1000,0,0,0
Pct5,5+5-,any,25,0,0,0,1000,0,0,0
Pct5,5+5-,any,30,0,0,0,1000,0,0,0
Pct5,5+5-,any,35,0,0,0,1000,0,0,0
Pct5,5+5-,any,40,0,0,0,1000,0,0,0
Pct5,5+5-,any,45,0,0,0,1000,0,0,0
Pct5,5+5-,any,50,0,0,0,1000,0,0,0
Pct5,5+5-,any,75,0,0,0,1000,0,0,0
Pct5,5+5-,any,100,0,0,0,1000,0,0,0
Pct5,5+5-,any,125,0,0,0,1000,0,0,0
Pct5,5+5-,any,150,0,0,0,1000,0,0,0
Pct5,5+5-,any,200,0,0,0,1000,0,0,0
Pct5,5+5-,any,225,0,0,0,1000,0,0,0
Pct5,5+5-,any,250,0,0,0,1000,0,0,0
Pct5,5+5-,any,275,0,0,0,1000,0,0,0
Pct5,5+5-,any,300,0,0,0,1000,0,0,0
Pct5,5+5-,any,325,0,0,0,1000,0,0,0
Pct5,5+5-,any,350,0,0,0,1000,0,0,0
Pct5,5+5-,any,375,0,0,0,1000,0,0,0
Pct5,5+5-,any,400,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,5,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,10,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,15,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,20,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,25,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,30,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,35,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,40,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,45,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,50,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,75,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,100,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,125,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,150,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,200,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,225,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,250,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,275,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,300,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,325,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,350,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,375,0,0,0,1000,0,0,0
Pct5,5+5-,underdog,400,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,5,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,10,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,15,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,20,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,25,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,30,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,35,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,40,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,45,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,50,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,75,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,100,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,125,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,150,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,200,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,225,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,250,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,275,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,300,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,325,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,350,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,375,0,0,0,1000,0,0,0
Pct5,5+5-,favorite,400,0,0,0,1000,0,0,0
Fib1,none,any,5,81,50,62,1026,15,8,5
Fib1,none,any,10,56,35,62,1019,23,13,6
Fib1,none,any,15,36,26,72,1023,6,3,3
Fib1,none,any,20,24,19,79,1015,3,2,2
Fib1,none,any,25,12,9,75,1007,4,3,3
Fib1,none,any,30,5,4,80,1005,1,1,1
Fib1,none,any,35,1,0,0,999,1,1,1
Fib1,none,any,40,1,0,0,999,1,1,1
Fib1,none,any,45,1,0,0,999,1,1,1
Fib1,none,any,50,0,0,0,1000,0,0,0
Fib1,none,any,75,0,0,0,1000,0,0,0
Fib1,none,any,100,0,0,0,1000,0,0,0
Fib1,none,any,125,0,0,0,1000,0,0,0
Fib1,none,any,150,0,0,0,1000,0,0,0
Fib1,none,any,200,0,0,0,1000,0,0,0
Fib1,none,any,225,0,0,0,1000,0,0,0
Fib1,none,any,250,0,0,0,1000,0,0,0
Fib1,none,any,275,0,0,0,1000,0,0,0
Fib1,none,any,300,0,0,0,1000,0,0,0
Fib1,none,any,325,0,0,0,1000,0,0,0
Fib1,none,any,350,0,0,0,1000,0,0,0
Fib1,none,any,375,0,0,0,1000,0,0,0
Fib1,none,any,400,0,0,0,1000,0,0,0
Fib1,none,underdog,5,45,21,47,1039,33,21,7
Fib1,none,underdog,10,30,14,47,1027,12,8,5
Fib1,none,underdog,15,19,11,58,1019,7,5,4
Fib1,none,underdog,20,11,8,73,1012,4,3,3
Fib1,none,underdog,25,6,4,67,1007,2,2,2
Fib1,none,underdog,30,3,2,67,1004,1,1,1
Fib1,none,underdog,35,1,0,0,999,1,1,1
Fib1,none,underdog,40,1,0,0,999,1,1,1
Fib1,none,underdog,45,1,0,0,999,1,1,1
Fib1,none,underdog,50,0,0,0,1000,0,0,0
Fib1,none,underdog,75,0,0,0,1000,0,0,0
Fib1,none,underdog,100,0,0,0,1000,0,0,0
Fib1,none,underdog,125,0,0,0,1000,0,0,0
Fib1,none,underdog,150,0,0,0,1000,0,0,0
Fib1,none,underdog,200,0,0,0,1000,0,0,0
Fib1,none,underdog,225,0,0,0,1000,0,0,0
Fib1,none,underdog,250,0,0,0,1000,0,0,0
Fib1,none,underdog,275,0,0,0,1000,0,0,0
Fib1,none,underdog,300,0,0,0,1000,0,0,0
Fib1,none,underdog,325,0,0,0,1000,0,0,0
Fib1,none,underdog,350,0,0,0,1000,0,0,0
Fib1,none,underdog,375,0,0,0,1000,0,0,0
Fib1,none,underdog,400,0,0,0,1000,0,0,0
Fib1,none,favorite,5,34,27,79,1006,3,2,2
Fib1,none,favorite,10,25,20,80,1005,3,2,2
Fib1,none,favorite,15,16,14,88,1004,1,1,1
Fib1,none,favorite,20,12,10,83,1003,1,1,1
Fib1,none,favorite,25,6,5,83,1001,1,1,1
Fib1,none,favorite,30,2,2,100,1001,0,1,0
Fib1,none,favorite,35,0,0,0,1000,0,0,0
Fib1,none,favorite,40,0,0,0,1000,0,0,0
Fib1,none,favorite,45,0,0,0,1000,0,0,0
Fib1,none,favorite,50,0,0,0,1000,0,0,0
Fib1,none,favorite,75,0,0,0,1000,0,0,0
Fib1,none,favorite,100,0,0,0,1000,0,0,0
Fib1,none,favorite,125,0,0,0,1000,0,0,0
Fib1,none,favorite,150,0,0,0,1000,0,0,0
Fib1,none,favorite,200,0,0,0,1000,0,0,0
Fib1,none,favorite,225,0,0,0,1000,0,0,0
Fib1,none,favorite,250,0,0,0,1000,0,0,0
Fib1,none,favorite,275,0,0,0,1000,0,0,0
