strategy,delta_threshold,total_bets,wins,losses,win_rate,starting_bank,final_bankroll,profit_loss,roi
22_fib1_4heroes_all,5,8651,4474,4177,51.716564559010514,1000,0.0,-1000.0,-100.0
22_fib1_4heroes_all,10,10289,5335,4954,51.851491884536884,1000,0.0,-1000.0,-100.0
22_fib1_4heroes_all,15,12936,6751,6185,52.18769325912183,1000,0.0,-1000.0,-100.0
22_fib1_4heroes_all,20,15458,8134,7324,52.62000258765688,1000,333.7899999999966,-666.2100000000034,-66.62100000000034
22_fib1_4heroes_all,25,6282,3317,2965,52.80165552371856,1000,0.0,-1000.0,-100.0
22_fib1_4heroes_all,30,6078,3191,2887,52.50082263902599,1000,0.0,-1000.0,-100.0
22_fib1_4heroes_all,35,5066,2675,2391,52.80300039478879,1000,0.0,-1000.0,-100.0
22_fib1_4heroes_all,40,7251,3882,3369,53.53744311129499,1000,631.0300000000004,-368.9699999999996,-36.896999999999956
22_fib1_4heroes_all,45,5832,3117,2715,53.446502057613166,1000,720.9699999999948,-279.0300000000052,-27.90300000000052
22_fib1_4heroes_all,50,4682,2521,2161,53.84451089278086,1000,861.4899999999993,-138.51000000000067,-13.851000000000067
22_fib1_4heroes_all,75,1290,711,579,55.11627906976744,1000,1059.5300000000027,59.5300000000027,5.95300000000027
22_fib1_4heroes_all,100,330,187,143,56.666666666666664,1000,1006.0100000000001,6.010000000000105,0.6010000000000104
22_fib1_4heroes_all,150,25,12,13,48.0,1000,999.1600000000001,-0.8399999999999181,-0.08399999999999182
22_fib1_4heroes_all,200,0,0,0,0.0,1000,1000.0,0.0,0.0
22_fib1_4heroes_all,300,0,0,0,0.0,1000,1000.0,0.0,0.0
22_fib1_4heroes_all,400,0,0,0,0.0,1000,1000.0,0.0,0.0
